model_name,ticker,date,close,buy_1_price,buy_2_price,stop_loss_pct,target_price,basis_buy_1,basis_buy_2,basis_target
price_model_2,AAPL,2026-09-11 00:00:00-04:00,332.2699890136719,317.83,274.91,-0.05,365.5,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,MSFT,2026-09-11 00:00:00-04:00,495.6300048828125,474.38,352.17,-0.05,545.53,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,GOOGL,2026-09-11 00:00:00-04:00,338.5,331.37,317.49,-0.05,381.07,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AMZN,2026-09-11 00:00:00-04:00,256.7799987792969,255.25,226.65,-0.05,293.54,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,NVDA,2026-09-11 00:00:00-04:00,218.2899932861328,212.36,189.8,-0.05,244.21,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,META,2026-09-11 00:00:00-04:00,648.030029296875,600.9,517.78,-0.05,691.04,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,TSLA,2026-09-11 00:00:00-04:00,365.4400024414063,354.5,298.32,-0.05,407.67,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AAPL,2026-09-11 00:00:00-04:00,332.2699890136719,317.83,274.91,-0.05,365.5,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,MSFT,2026-09-11 00:00:00-04:00,495.6300048828125,474.38,352.17,-0.05,545.53,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,GOOGL,2026-09-11 00:00:00-04:00,338.5,331.37,317.49,-0.05,381.07,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AMZN,2026-09-11 00:00:00-04:00,256.7799987792969,255.25,226.65,-0.05,293.54,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,NVDA,2026-09-11 00:00:00-04:00,218.2899932861328,212.36,189.8,-0.05,244.21,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,META,2026-09-11 00:00:00-04:00,648.030029296875,600.9,517.78,-0.05,691.04,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,TSLA,2026-09-11 00:00:00-04:00,365.4400024414063,354.5,298.32,-0.05,407.67,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AAPL,2026-09-11 00:00:00-04:00,332.2699890136719,317.83,274.91,-0.05,365.5,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,MSFT,2026-09-11 00:00:00-04:00,495.6300048828125,474.38,352.17,-0.05,545.53,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,GOOGL,2026-09-11 00:00:00-04:00,338.5,331.37,317.49,-0.05,381.07,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AMZN,2026-09-11 00:00:00-04:00,256.7799987792969,255.25,226.65,-0.05,293.54,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,NVDA,2026-09-11 00:00:00-04:00,218.2899932861328,212.36,189.8,-0.05,244.21,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,META,2026-09-11 00:00:00-04:00,648.030029296875,600.9,517.78,-0.05,691.04,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,TSLA,2026-09-11 00:00:00-04:00,365.4400024414063,354.5,298.32,-0.05,407.67,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AAPL,2026-09-14 00:00:00-04:00,333.0799865722656,318.32,274.91,-0.05,366.07,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,MSFT,2026-09-14 00:00:00-04:00,505.4100036621094,474.31,352.17,-0.05,545.45,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,GOOGL,2026-09-14 00:00:00-04:00,349.3900146484375,346.77,317.49,-0.05,398.79,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AMZN,2026-09-14 00:00:00-04:00,253.5399932861328,250.65,226.65,-0.05,288.24,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,NVDA,2026-09-14 00:00:00-04:00,210.9600067138672,206.65,189.8,-0.05,237.65,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,META,2026-09-14 00:00:00-04:00,665.5999755859375,602.56,512.97,-0.05,692.94,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,TSLA,2026-09-14 00:00:00-04:00,358.9700012207031,353.81,298.32,-0.05,406.88,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%)
price_model_2,AAPL,2026-09-15 00:00:00-04:00,331.3399963378906,318.7,274.91,-0.05,366.51,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,MSFT,2026-09-15 00:00:00-04:00,497.1199951171875,476.49,352.17,-0.05,547.97,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,GOOGL,2026-09-15 00:00:00-04:00,344.9800109863281,331.01,317.49,-0.05,380.66,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,AMZN,2026-09-15 00:00:00-04:00,248.4199981689453,240.97,226.65,-0.05,277.11,폴백: 현재가 -3% (지표 데이터 부족),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,NVDA,2026-09-15 00:00:00-04:00,212.1699981689453,205.93,189.8,-0.05,236.82,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,META,2026-09-15 00:00:00-04:00,670.239990234375,603.96,510.96,-0.05,694.55,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,TSLA,2026-09-15 00:00:00-04:00,356.5799865722656,352.54,298.32,-0.05,405.43,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,AAPL,2026-09-15 00:00:00-04:00,331.3399963378906,318.7,274.91,-0.05,366.51,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,MSFT,2026-09-15 00:00:00-04:00,497.1199951171875,476.49,352.17,-0.05,547.97,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,GOOGL,2026-09-15 00:00:00-04:00,344.9800109863281,331.01,317.49,-0.05,380.66,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,AMZN,2026-09-15 00:00:00-04:00,248.4199981689453,240.97,226.65,-0.05,277.11,폴백: 현재가 -3% (지표 데이터 부족),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,NVDA,2026-09-15 00:00:00-04:00,212.1699981689453,205.93,189.8,-0.05,236.82,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,META,2026-09-15 00:00:00-04:00,670.239990234375,603.96,510.96,-0.05,694.55,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,TSLA,2026-09-15 00:00:00-04:00,356.5799865722656,352.54,298.32,-0.05,405.43,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),,-0.2,False
price_model_2,AAPL,2026-09-15 00:00:00-04:00,331.3399963378906,318.7,274.91,-0.05,366.51,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),0.2428571428571428,-0.2,False
price_model_2,MSFT,2026-09-15 00:00:00-04:00,497.1199951171875,476.49,352.17,-0.05,547.97,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.7,-0.2,True
price_model_2,GOOGL,2026-09-15 00:00:00-04:00,344.9800109863281,331.01,317.49,-0.05,380.66,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.0809523809523809,-0.2,False
price_model_2,AMZN,2026-09-15 00:00:00-04:00,248.4199981689453,240.97,226.65,-0.05,277.11,폴백: 현재가 -3% (지표 데이터 부족),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.2538461538461538,-0.2,True
price_model_2,NVDA,2026-09-15 00:00:00-04:00,212.1699981689453,205.93,189.8,-0.05,236.82,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),0.4543478260869565,-0.2,False
price_model_2,META,2026-09-15 00:00:00-04:00,670.239990234375,603.96,510.96,-0.05,694.55,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.7,-0.2,True
price_model_2,TSLA,2026-09-15 00:00:00-04:00,356.5799865722656,352.54,298.32,-0.05,405.43,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.2538461538461538,-0.2,True
price_model_2,AAPL,2026-09-16 00:00:00-04:00,332.4100036621094,319.14,274.91,-0.05,367.02,50일 이동평균,60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),0.2428571428571428,-0.2,False
price_model_2,MSFT,2026-09-16 00:00:00-04:00,490.2999877929688,478.1,352.17,-0.05,549.81,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.7,-0.2,True
price_model_2,GOOGL,2026-09-16 00:00:00-04:00,342.8699951171875,331.01,317.49,-0.05,380.66,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.0809523809523809,-0.2,False
price_model_2,AMZN,2026-09-16 00:00:00-04:00,245.9600067138672,238.58,226.65,-0.05,274.37,폴백: 현재가 -3% (지표 데이터 부족),60일 최저가,손절가 대비 리스크 x3.0 (stop_loss_pct=-5.0%),-0.2538461538461538,-0.2,True
